Source,Target
AMT:R' U R' D R U2 R' D' R U R,ATM:R' U' R' D R U2 R' D' R U' R
AMT:R' U R' D R U2 R' D' R U R,JBN:R U R' D R U2 R' D' R U R'
AMX:D R U' D' R' D R U R' D' R D R' D',AYR:R U' D' R' D R U R' D' R D R'
AMX:D R U' D' R' D R U R' D' R D R' D',AXM:D R D' R' D R U' R' D' R U D R' D'
AMY:D R U' R' D' R U R',JAM:R' D R U' R' D' R U
AMY:D R U' R' D' R U R',GCW:R2 D R U' R' D' R U R
AMY:D R U' R' D' R U R',JMY:U D R U' R' D' R U R' U'
AMY:D R U' R' D' R U R',AYM:R U' R' D R U R' D'
AMY:D R U' R' D' R U R',AYS:R U' R' D' R U R' D
AMY:D R U' R' D' R U R',DMR:R U' D R U' R' D' R U R' U R'
AMY:D R U' R' D' R U R',GBW:R' F' D R U' R' D' R U R' F R
AMY:D R U' R' D' R U R',JHN:R' F D R U' R' D' R U R' F' R
AMY:D R U' R' D' R U R',JOD:R' U' D' R D R U' R' D' R U R2 U D R
AMZ:U R U' R2 D R U' R' D' R U R U R' U',DMZ:R U' R2 D R U' R' D' R U R U R'
AMZ:U R U' R2 D R U' R' D' R U R U R' U',AZM:U R U' R' U' R' D R U R' D' R2 U R' U'
AND:U2 D R' D' R U R' D R U D',AZD:U2 R' D' R U R' D R U
AND:U2 D R' D' R U R' D R U D',GDN:U D R' D' R U R' D R U2 D'
AND:U2 D R' D' R U R' D R U D',JGN:D R' D' R U R' D R U' D'
AND:U2 D R' D' R U R' D R U D',JNA:U' D R' D' R U R' D R D'
ANE:R' U' R U' R' D R U2 R' D' R U' R' U R,JNB:R U' R' D R U2 R' D' R U' R'
ANF:R B' R' D R' D' R U' R' D R U D' R B R',GCM:R' D R' D' R U' R' D R U D' R
ANO:U R B' R' U2 R' D R U2 R' D' R2 B R' U',DNO:R B' R' U2 R' D R U2 R' D' R2 B R'
ANO:U R B' R' U2 R' D R U2 R' D' R2 B R' U',AON:U R B' R2 D R U2 R' D' R U2 R B R' U'
ANO:U R B' R' U2 R' D R U2 R' D' R2 B R' U',GNO:U' R B' R' U2 R' D R U2 R' D' R2 B R' U
ANP:R B R' U D R' D' R U2 R' D R U D' R B' R',ANT:R' U D R' D' R U2 R' D R U D' R
ANP:R B R' U D R' D' R U2 R' D R U D' R B' R',APN:R B R' U' D R' D' R U2 R' D R U' D' R B' R'
ANQ:U' R' F' R2 D' R' U' R D R' U R' F R U,JNQ:R' F' R2 D' R' U' R D R' U R' F R
ANQ:U' R' F' R2 D' R' U' R D R' U R' F R U,AQN:U' R' F' R U' R D' R' U R D R2 F R U
ANQ:U' R' F' R2 D' R' U' R D R' U R' F R U,GNQ:U R' F' R2 D' R' U' R D R' U R' F R U'
ANR:U' D R2 D' R' U' R D R' U R' U D',AZO:U' R2 D' R' U' R D R' U R' U
ANR:U' D R2 D' R' U' R D R' U R' U D',ARN:U' D R U' R D' R' U R D R2 U D'
ANR:U' D R2 D' R' U' R D R' U R' U D',GNR:U D R2 D' R' U' R D R' U R' U' D'
ANR:U' D R2 D' R' U' R D R' U R' U D',JNR:D R2 D' R' U' R D R' U R' D'
ANS:U' R' F' R2 D R' U' R D' R' U R' F R U,JNS:R' F' R2 D R' U' R D' R' U R' F R
ANS:U' R' F' R2 D R' U' R D' R' U R' F R U,ASN:U' R' F' R U' R D R' U R D' R2 F R U
ANS:U' R' F' R2 D R' U' R D' R' U R' F R U,DNS:U2 R' F' R2 D R' U' R D' R' U R' F R U2
ANS:U' R' F' R2 D R' U' R D' R' U R' F R U,GNS:U R' F' R2 D R' U' R D' R' U R' F R U'
ANT:R' U D R' D' R U2 R' D R U D' R,GAN:U D R' D' R U2 R' D R U D'
ANT:R' U D R' D' R U2 R' D R U D' R,ATN:R' U' D R' D' R U2 R' D R U' D' R
ANT:R' U D R' D' R U2 R' D R U D' R,JBW:R U D R' D' R U2 R' D R U D' R'
